"TFBS","Correlation","P_value","Adjusted_P_value","Null_Hypothesis"
"SPL2A",0.0554441962508203,0.461023089376364,0.976216233894167,"Accept"
"SPL2B",0.181582489685147,0.0149889273285208,0.742869364642466,"Accept"
"SPL3",-0.0124835212778242,0.868271454717426,0.9858514737575,"Accept"
"SPL3A",-0.00730300843838457,0.922707042941628,0.9858514737575,"Accept"
"SPL3B",0.04292809325596,0.56828561678951,0.976216233894167,"Accept"
"SPL3D",0.118353610809078,0.114583751105605,0.820522430561256,"Accept"
"SPL4A",0.125411157058275,0.0943779524312785,0.807920882388444,"Accept"
"SPL4D",0.129513057607896,0.0840039591509264,0.807920882388444,"Accept"
"SPL5",-0.0124835212778242,0.868271454717426,0.9858514737575,"Accept"
"SPL5A",0.0734060055247961,0.328795356022292,0.904228562912323,"Accept"
"SPL5B",0.0364105172587379,0.628465903468555,0.9858514737575,"Accept"
"SPL5D",0.0248186950390649,0.74156919469407,0.9858514737575,"Accept"
"SPL6A",0.0380440836105387,0.613128815294778,0.9858514737575,"Accept"
"SPL7A",0.0766956719324534,0.307523020881609,0.904228562912323,"Accept"
"SPL7B",0.083987255539666,0.263662320113549,0.890151564672227,"Accept"
"SPL8",0.0717922799257265,0.339568052075182,0.904228562912323,"Accept"
"SPL8A",0.113812376504344,0.129273882545309,0.820522430561256,"Accept"
"SPL8B",0.0997465008229133,0.18401844414847,0.867671968641295,"Accept"
"SPL8D1",0.0618353460521989,0.410910772719917,0.962035005747031,"Accept"
"SPL9",-0.0339392468107882,0.651971535953726,0.9858514737575,"Accept"
"SPL9D",0.0737190544923883,0.326731268851087,0.904228562912323,"Accept"
"SPT",0.0280448713555361,0.709401918294608,0.9858514737575,"Accept"
"SRM1",0.104711908867869,0.163023976299314,0.858495574099163,"Accept"
"SVP",0.0549278709899528,0.465214193022768,0.976216233894167,"Accept"
"StBRC1",-0.0392635925742721,0.60178720672631,0.9858514737575,"Accept"
"TB1",-0.0455188080840391,0.545147530451855,0.976216233894167,"Accept"
"TCP1",-0.0314028216917449,0.676458512226144,0.9858514737575,"Accept"
"TCP13",-0.0659546411074677,0.380385317849071,0.944828501469418,"Accept"
"TCP14",-0.12013077238014,0.109202841285617,0.820522430561256,"Accept"
"TCP15",-0.00359352949453486,0.961922278625354,0.9858514737575,"Accept"
"TCP16",-0.138046004969022,0.0653547922606482,0.807920882388444,"Accept"
"TCP17",-0.0924744821446259,0.218249382228155,0.890151564672227,"Accept"
"TCP19",-0.101580176646272,0.176045586079168,0.865454874221362,"Accept"
"TCP2",-0.138780005714097,0.063922851769887,0.807920882388444,"Accept"
"TCP20",-0.0171261442348106,0.820001044787053,0.9858514737575,"Accept"
"TCP21",-0.122929173695009,0.101133766216477,0.807920882388444,"Accept"
"TCP22",-0.176997518225289,0.0177774938624908,0.742869364642466,"Accept"
"TCP23",-0.0811750157393717,0.280042964162429,0.890151564672227,"Accept"
"TCP24",-0.139848731759774,0.061883933759045,0.807920882388444,"Accept"
"TCP3",-0.140944259189249,0.0598495838570775,0.807920882388444,"Accept"
